web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406434-2588","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=71","null","Moabit, Berlin","927.000 €","108,65 m²","3 Zi.3","Online-Besichtigung","Balkon/Terrasse","/expose/125213193"
"1609406274-2183","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=91","null","Müllerstraße 29, Lichterfelde, Berlin","269.000 €","69,25 m²","2 Zi.2","Balkon/Terrasse","null","/expose/113718355"
"1609406649-3189","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=41","null","Mitte (Ortsteil), Berlin","2.299.000 €","213 m²","6 Zi.6","Provisionsfrei*","Einbauküche","/expose/125383301"
"1609406462-2631","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=69","null","Charlottenburg, Berlin","281.295 €","72,62 m²","3 Zi.3","Online-Besichtigung","Keller","/expose/125346492"
"1609406617-3098","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=46","null","Niederschönhausen, Berlin","615.000 €","84 m²","3 Zi.3","Keller","Aufzug","/expose/124046627"
"1609406699-3333","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=34","null","Sprengelstr. 23, Wedding, Berlin","228.000 €","62,14 m²","2 Zi.2","Online-Besichtigung","null","/expose/122557365"
"1609406589-3011","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=50","null","Menzelstrasse 18, Schöneberg, Berlin","218.000 €","48,42 m²","2 Zi.2","Keller","null","/expose/122341034"
"1609406625-3113","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=45","null","Alt-Moabit 73a_m, Moabit, Berlin","299.000 €","59 m²","2 Zi.2","Online-Besichtigung","Einbauküche","/expose/124514077"
"1609406881-3793","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=11","BUWOG UFERKRONE Suno","Spreestraße 8, Köpenick, Berlin","209.000 - 799.000 €","45,00 - 138,00 m²","auf Anfrage","null","null","https://www.immobilienscout24.de/neubau/buwog-lindenstrasse-development-gmbh/wohnquartier-uferkrone-an-der-spree-zu-hause/34044.html"
"1609406744-3464","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=27","NEUmicro+-","Einbecker Straße 31, Rummelsburg, Berlin","124.900 - 359.900 €","20,00 - 54,00 m²","Anfang 2022","null","null","https://www.immobilienscout24.de/neubau/accentro-gmbh/einbecker-strasse/94372.html"
"1609406307-2277","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=87","null","Kniephofstraße 52, Steglitz, Berlin","469.000 €","87,69 m²","3,5 Zi.3,5","Balkon/Terrasse","null","/expose/116796136"
"1609406219-2042","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=98","null","Corinthstraße 28, Friedrichshain, Berlin","419.000 €","78 m²","3 Zi.3","Provisionsfrei*","Keller","/expose/125344343"
"1609406287-2232","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=89","null","Wrangelstraße 10, Steglitz, Berlin","629.000 €","136,28 m²","3 Zi.3","Balkon/Terrasse","Einbauküche","/expose/116734729"
