web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609153707-376,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=82,null,"Müllerstraße 29, Lichterfelde, Berlin",359.00 €,105 m²,4 Zi.4,Balkon/Terrasse,Garten,/expose/119798547
1609153765-556,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=73,null,"Prenzlauer Berg, Berlin",724.00 €,110 m²,3 Zi.3,Balkon/Terrasse,Gäste-WC,/expose/125080808
1609154249-1952,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=3,NEU54 EAST,"Gubener Straße 12, Friedrichshain, Berlin",180.000 - 444.000 €,"35,00 - 70,00 m²",sofort,null,null,https://www.immobilienscout24.de/neubau/allmyhomes-gmbh/54-east/95507.html
1609153707-378,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=82,null,"Kavalierstraße 5, Pankow (Ortsteil), Berlin",435.00 €,"74,88 m²",3 Zi.3,Online-Besichtigung,Provisionsfrei*,/expose/119421850
1609153653-189,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=91,null,"Tiergarten, Berlin",449.00 €,91 m²,3 Zi.3,Online-Besichtigung,Einbauküche,/expose/124516720
1609154156-1693,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=16,null,"Tile-Brügge-Weg-Weg 107, Tegel, Berlin",220.00 €,"49,9 m²",2 Zi.2,Online-Besichtigung,Balkon/Terrasse,/expose/125306534
1609153817-684,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=66,null,"Schöneberg, Berlin",2.650.000 €,265 m²,6 Zi.6,Einbauküche,Gäste-WC,/expose/122409749
1609153830-739,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=64,null,"Charlottenburg, Berlin",4.500.000 €,600 m²,7 Zi.7,null,null,/expose/124578881
1609153904-924,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=54,null,"Maximilianstraße 46, Pankow (Ortsteil), Berlin",485.00 €,"109,19 m²",4 Zi.4,Online-Besichtigung,Provisionsfrei*,/expose/117518988
1609154061-1400,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=31,null,"Darmstädter Straße 9, Wilmersdorf, Berlin",197.71 €,"27,46 m²",1 Zi.1,Online-Besichtigung,Provisionsfrei*,/expose/122453026
1609153861-817,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=60,null,"Nürnberger Straße 27b, Charlottenburg, Berlin",599.00 €,112 m²,3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/123064359
1609154156-1696,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=16,null,"Friedrichsruher Straße 18, Steglitz, Berlin",165.00 €,"36,11 m²",1 Zi.1,Online-Besichtigung,Provisionsfrei*,/expose/124471869
1609153861-816,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=60,null,"Nürnberger Straße 27#, Charlottenburg, Berlin",579.00 €,112 m²,3 Zi.3,Online-Besichtigung,null,/expose/123065111
1609154150-1677,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=17,null,"Koloniestrasse 0815, Lichterfelde, Berlin",718.50 €,127 m²,4 Zi.4,Balkon/Terrasse,Einbauküche,/expose/124592022
1609153817-687,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=66,null,"Dahlem, Berlin",799.00 €,150 m²,4 Zi.4,null,null,/expose/121803746
1609154067-1408,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=30,null,"Schonensche Strasse 4, Pankow (Ortsteil), Berlin",319.00 €,67 m²,2 Zi.2,Balkon/Terrasse,Einbauküche,/expose/125030013
1609154156-1697,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=16,null,"Steglitz, Berlin",455.00 €,87 m²,3 Zi.3,Online-Besichtigung,null,/expose/124089818
